,File Name,Page Number,Notable Content,Keywords,Notable Illustrations,Quotes
TheGospelofSlavery(Gray)_Page1,TheGospelofSlavery(Gray)_Page1.jpg,1,Title Page,A Primer of Freedom,N/A,N/A
TheGospelofSlavery(Gray)_Page2,TheGospelofSlavery(Gray)_Page2.jpg,2,Credits,Abel C. Thomas,N/A,N/A
TheGospelofSlavery(Gray)_Page3,TheGospelofSlavery(Gray)_Page3.jpg,3,A,"Adam, Equal in Rights",White child and enslaved Black child on a seesaw under the Eye of Providence,Declaration of Independence
TheGospelofSlavery(Gray)_Page4,TheGospelofSlavery(Gray)_Page4.jpg,4,B,"Bloodhound, ""Property""",Enslaved man attacked by dogs,N/A
TheGospelofSlavery(Gray)_Page5,TheGospelofSlavery(Gray)_Page5.jpg,5,C,"Cotton, ""Democrat Coal"", ""Republican Corn""",Poor man sitting on a bale of cotton next to rich men with bags of corn,"Dr. Smyth, a Rebel leader in South Carolina"
TheGospelofSlavery(Gray)_Page6,TheGospelofSlavery(Gray)_Page6.jpg,6,D,"Driver, Slave Trader",Slave-overseer holding a whip and pistols while governing slaves ,A Sentimental Journey by Laurence Sterne
TheGospelofSlavery(Gray)_Page7,TheGospelofSlavery(Gray)_Page7.jpg,7,E,"Eagle, Rescue of Right",Chained woman attacked by serpents and eagles,N/A
TheGospelofSlavery(Gray)_Page8,TheGospelofSlavery(Gray)_Page8.jpg,8,F,"Fugitives, Refuge",Fugitive slaves hiding in tall grass,N/A
TheGospelofSlavery(Gray)_Page9,TheGospelofSlavery(Gray)_Page9.jpg,9,G,"Gospel, Slavery Law",Preachers praising slavery,N/A
TheGospelofSlavery(Gray)_Page10,TheGospelofSlavery(Gray)_Page10.jpg,10,H,Harvest,Slave-overseer whipping slaves in a plantation,N/A
TheGospelofSlavery(Gray)_Page11,TheGospelofSlavery(Gray)_Page11.jpg,11,I,"Infidel, The Bible",Preacher standing on an enslaved man while reading the Holy Bible,N/A
TheGospelofSlavery(Gray)_Page12,TheGospelofSlavery(Gray)_Page12.jpg,12,J,"Justice, Proclaim, Defend",Balancing the Holy Bible and a serpent with shackles,James vs. 1-3
TheGospelofSlavery(Gray)_Page13,TheGospelofSlavery(Gray)_Page13.jpg,13,K,"Kidnapper, Breeds, Steals",White man kidnapping a slave,N/A
TheGospelofSlavery(Gray)_Page14,TheGospelofSlavery(Gray)_Page14.jpg,14,L,"Liberty, Slavery Law, Old Liberty Hall",Cracked bell of Old Liberty Hall,Lev. xxv. 10
TheGospelofSlavery(Gray)_Page15,TheGospelofSlavery(Gray)_Page15.jpg,15,M,"Master, Apprentices",Slaveowner governing slaves,N/A
TheGospelofSlavery(Gray)_Page16,TheGospelofSlavery(Gray)_Page16.jpg,16,N,"Negro, Improvement debar",Slaveowner holding a whip and watching a white girl teach an enslaved man how to read,N/A
TheGospelofSlavery(Gray)_Page17,TheGospelofSlavery(Gray)_Page17.jpg,17,O,"Ox, Ass",Ox getting whipped,Andrew Jackson 
TheGospelofSlavery(Gray)_Page18,TheGospelofSlavery(Gray)_Page18.jpg,18,P,"Principle, Ruler of All",Angel-like woman standing between slaves and slaveowners,George Washington 
TheGospelofSlavery(Gray)_Page19,TheGospelofSlavery(Gray)_Page19.jpg,19,Q,"Query, Sensual Will",Slaveowners dragging a Black woman ,N/A
TheGospelofSlavery(Gray)_Page20,TheGospelofSlavery(Gray)_Page20.jpg,20,R,"Rebel, Tyrannical foes",White man holding a gun while sitting against a log,Alexander H. Stephens
TheGospelofSlavery(Gray)_Page21,TheGospelofSlavery(Gray)_Page21.jpg,21,S,"Slavery, ""Might is not right""",Black men seizing a white man and a white girl ,Bancroft's United States i. 159
TheGospelofSlavery(Gray)_Page22,TheGospelofSlavery(Gray)_Page22.jpg,22,T,"Trader, Rightfully buy, Honestly sell",Slaveowner trading slaves,N/A
TheGospelofSlavery(Gray)_Page23,TheGospelofSlavery(Gray)_Page23.jpg,23,U,"Union, Nation",White men waving their hats to the American flag,Alexander H. Stephens
TheGospelofSlavery(Gray)_Page24,TheGospelofSlavery(Gray)_Page24.jpg,24,V,"Victory, Righteousness",Soldier with an American flag freeing an enslaved man from his chains,N/A
TheGospelofSlavery(Gray)_Page25,TheGospelofSlavery(Gray)_Page25.jpg,25,W,"Woman, mothers",Enslaved woman on her knees as her child is dragged to a slave auction,Southern ladies
TheGospelofSlavery(Gray)_Page26,TheGospelofSlavery(Gray)_Page26.jpg,26,X,Cross,White man whipping an enslaved man chained to a tree,Hebrews x. 26-31
TheGospelofSlavery(Gray)_Page27,TheGospelofSlavery(Gray)_Page27.jpg,27,Y,"Yankee, Renegade knaves",Slave-overseer whipping enslaved people,N/A
TheGospelofSlavery(Gray)_Page28,TheGospelofSlavery(Gray)_Page28.jpg,28,Z,"Zenith, Evermore radiant",People looking up to an eagle in the sky,Isaiah xl. 3-5
